comparison,mean_diff,p_val_tukey,95%_ci_low,95%_ci_up,dof_between,dof_within,F_1way_anova,p_1way_anova
"('layer35a', 'layer21')",0.18491393,0.0,0.15208586,0.21774201,18,33195,267.29165646166956,0.0
"('layer35a', 'layer22')",-0.13781554,0.0,-0.17064361,-0.104987465,18,33195,267.29165646166956,0.0
"('layer35a', 'layer23')",-0.064012304,1.1915017e-09,-0.096840374,-0.03118423,18,33195,267.29165646166956,0.0
"('layer35a', 'layer24')",0.08310417,4.5119686e-11,0.04290034,0.123308,18,33195,267.29165646166956,0.0
"('layer35a', 'layer25')",0.09396222,0.0,0.05375839,0.13416606,18,33195,267.29165646166956,0.0
"('layer35a', 'layer26')",-0.11202219,0.0,-0.15222603,-0.07181836,18,33195,267.29165646166956,0.0
"('layer35a', 'layer27')",0.23978983,0.0,0.18788916,0.2916905,18,33195,267.29165646166956,0.0
"('layer35a', 'layer28')",0.32557222,0.0,0.27367154,0.3774729,18,33195,267.29165646166956,0.0
"('layer35a', 'layer29')",0.25618336,0.0,0.20428269,0.30808404,18,33195,267.29165646166956,0.0
"('layer35a', 'layer30')",0.33878243,0.0,0.28688174,0.3906831,18,33195,267.29165646166956,0.0
"('layer35a', 'layer31')",0.22982764,0.0,0.17792697,0.28172833,18,33195,267.29165646166956,0.0
"('layer35a', 'layer32')",0.018658191,0.99919444,-0.03324248,0.07055886,18,33195,267.29165646166956,0.0
