comparison,mean_diff,p_val_tukey,95%_ci_low,95%_ci_up,dof_between,dof_within,F_1way_anova,p_1way_anova
"('layer36a', 'layer20')",-0.52472943,0.0,-0.5371077,-0.51235116,18,33195,5044.077351770932,0.0
"('layer36a', 'layer21')",-0.3795061,0.0,-0.3918844,-0.36712784,18,33195,5044.077351770932,0.0
"('layer36a', 'layer22')",-0.44173658,0.0,-0.45411485,-0.4293583,18,33195,5044.077351770932,0.0
"('layer36a', 'layer23')",-0.35350406,0.0,-0.36588234,-0.3411258,18,33195,5044.077351770932,0.0
"('layer36a', 'layer24')",-0.2554915,0.0,-0.27065173,-0.24033126,18,33195,5044.077351770932,0.0
"('layer36a', 'layer25')",-0.07760902,0.0,-0.09276926,-0.062448777,18,33195,5044.077351770932,0.0
"('layer36a', 'layer26')",-0.026527897,1.2940369e-07,-0.041688137,-0.011367658,18,33195,5044.077351770932,0.0
"('layer36a', 'layer27')",-0.10009612,0.0,-0.1196679,-0.08052434,18,33195,5044.077351770932,0.0
"('layer36a', 'layer28')",-0.035600737,2.7184091e-08,-0.05517252,-0.016028954,18,33195,5044.077351770932,0.0
"('layer36a', 'layer29')",-0.02362983,0.0032180154,-0.043201614,-0.0040580453,18,33195,5044.077351770932,0.0
"('layer36a', 'layer30')",0.0024144948,1.0,-0.017157288,0.021986278,18,33195,5044.077351770932,0.0
"('layer36a', 'layer31')",0.03106311,4.024931e-06,0.011491326,0.050634895,18,33195,5044.077351770932,0.0
"('layer36a', 'layer32')",0.030622035,6.312401e-06,0.011050251,0.05019382,18,33195,5044.077351770932,0.0
"('layer36a', 'layer33a')",0.05733812,0.0,0.037766334,0.0769099,18,33195,5044.077351770932,0.0
"('layer36a', 'layer34a')",0.03627099,0.0,0.021110753,0.05143123,18,33195,5044.077351770932,0.0
"('layer36a', 'layer35a')",0.06401925,0.0,0.05163895,0.07639955,18,33195,5044.077351770932,0.0
"('layer36a', 'layer36a')",0.0,1.0,-0.012378283,0.012378283,18,33195,5044.077351770932,0.0
"('layer36a', 'layer37')",-0.027142927,0.44493952,-0.06323151,0.008945659,18,33195,5044.077351770932,0.0
"('layer37', 'layer19')",-0.50687,0.0,-0.54295856,-0.4707814,18,33195,5044.077351770932,0.0
"('layer37', 'layer20')",-0.4975865,0.0,-0.5336751,-0.4614979,18,33195,5044.077351770932,0.0
"('layer37', 'layer21')",-0.35236317,0.0,-0.38845176,-0.31627458,18,33195,5044.077351770932,0.0
"('layer37', 'layer22')",-0.41459364,0.0,-0.45068222,-0.37850505,18,33195,5044.077351770932,0.0
"('layer37', 'layer23')",-0.32636112,0.0,-0.3624497,-0.29027253,18,33195,5044.077351770932,0.0
"('layer37', 'layer24')",-0.22834858,0.0,-0.26548344,-0.19121373,18,33195,5044.077351770932,0.0
"('layer37', 'layer25')",-0.05046609,0.000282641,-0.08760094,-0.013331242,18,33195,5044.077351770932,0.0
"('layer37', 'layer26')",0.0006150305,1.0,-0.036519818,0.03774988,18,33195,5044.077351770932,0.0
"('layer37', 'layer27')",-0.072953194,9.591246e-09,-0.112096764,-0.03380963,18,33195,5044.077351770932,0.0
"('layer37', 'layer28')",-0.00845781,0.9999996,-0.047601376,0.030685758,18,33195,5044.077351770932,0.0
"('layer37', 'layer29')",0.0035130978,1.0,-0.03563047,0.042656664,18,33195,5044.077351770932,0.0
"('layer37', 'layer30')",0.029557422,0.43703398,-0.009586146,0.06870099,18,33195,5044.077351770932,0.0
"('layer37', 'layer31')",0.058206037,2.8295099e-05,0.019062469,0.09734961,18,33195,5044.077351770932,0.0
"('layer37', 'layer32')",0.057764962,3.495368e-05,0.018621394,0.09690853,18,33195,5044.077351770932,0.0
"('layer37', 'layer33a')",0.084481046,0.0,0.04533748,0.123624615,18,33195,5044.077351770932,0.0
"('layer37', 'layer34a')",0.06341392,3.2550685e-07,0.02627907,0.10054877,18,33195,5044.077351770932,0.0
"('layer37', 'layer35a')",0.091162175,0.0,0.055072896,0.12725145,18,33195,5044.077351770932,0.0
"('layer37', 'layer36a')",0.027142927,0.44493952,-0.008945659,0.06323151,18,33195,5044.077351770932,0.0
"('layer37', 'layer37')",0.0,1.0,-0.04951313,0.04951313,18,33195,5044.077351770932,0.0
